instance,best_known,algo_solution,gap,time
sko72,66256.0000,71266,7.5616,30.9952
tai50a,4938796.0000,5343232,8.1890,15.1785
tai20a,703482.0000,754648,7.2732,2.2740
tai25b,344355646.0000,358149544,4.0057,3.2861
tai19a,inf,670669,0.0000,1.9444
tai13a,inf,279938,0.0000,1.0302
sko90,115534.0000,123668,7.0404,46.0466
tai100b,1185996137.0000,1363774758,14.9898,57.1684
tai15b,51765268.0000,52023948,0.4997,2.0597
wil100,273038.0000,285436,4.5408,69.1910
tai50b,458821517.0000,514250439,12.0807,14.1536
tai18a,inf,580837,0.0000,2.3573
tai11a,inf,181742,0.0000,0.6844
tai40b,637250948.0000,717563242,12.6029,10.2761
tai9a,inf,94731,0.0000,0.6626
tai64c,1855928.0000,1866980,0.5955,22.1240
tai8a,inf,77193,0.0000,0.5043
tai14a,inf,346318,0.0000,1.2375
tai5a,inf,15443,0.0000,0.2935
tai100a,21052466.0000,22709708,7.8720,53.1808
tai30a,1818146.0000,1927004,5.9873,6.7919
tai17a,491812.0000,519144,5.5574,1.7638
tai12b,39464925.0000,39464925,0.0000,0.9737
tai35b,283315445.0000,309030620,9.0765,8.4228
tai10a,inf,125928,0.0000,0.7188
tai7a,inf,53689,0.0000,0.4143
tai12a,224416.0000,230704,2.8019,0.9807
