instance,best_known,algo_solution,gap,time
sko72,66256.0000,75258,13.5867,1.4366
tai50a,4938796.0000,5604204,13.4731,1.0108
tai20a,703482.0000,789248,12.1916,0.2859
tai25b,344355646.0000,432361064,25.5565,0.4780
tai19a,inf,713936,0.0000,0.2882
tai13a,inf,286474,0.0000,0.1401
sko90,115534.0000,130624,13.0611,1.9065
tai100b,1185996137.0000,1486438802,25.3325,2.4508
tai15b,51765268.0000,52114387,0.6744,0.2421
wil100,273038.0000,291756,6.8555,2.0960
tai50b,458821517.0000,626009643,36.4386,1.3885
tai18a,inf,623391,0.0000,0.4127
tai11a,inf,193651,0.0000,0.2843
tai40b,637250948.0000,820243171,28.7159,1.2482
tai9a,inf,96592,0.0000,0.2275
tai64c,1855928.0000,1867994,0.6501,9.1085
tai8a,inf,77193,0.0000,0.2120
tai14a,inf,352782,0.0000,0.3172
tai5a,inf,15443,0.0000,0.1504
tai100a,21052466.0000,23551218,11.8692,3.4381
tai30a,1818146.0000,2033224,11.8295,0.8562
tai17a,491812.0000,532974,8.3695,0.5028
tai12b,39464925.0000,42512310,7.7218,0.4632
tai35b,283315445.0000,349801931,23.4673,0.9083
tai10a,inf,129547,0.0000,0.2738
tai7a,inf,52447,0.0000,0.1697
tai12a,224416.0000,224416,0.0000,0.4226
