instance,best_known,algo_solution,gap,time
tai12a,224416.0000,263234.0000,17.2973,0.6005
chr15b,7990.0000,23980.0000,200.1252,0.8837
kra30b,91420.0000,115510.0000,26.3509,3.2048
esc32g,6.0000,10.0000,66.6667,3.7440
tho150,8133398.0000,9588152.0000,17.8862,7970.8836
tho40,240516.0000,314704.0000,30.8453,5.7985
tai16a,inf,487390.0000,0.0000,0.9872
tai50b,458821517.0000,691605576.0000,50.7352,9.2979
chr12c,11156.0000,17758.0000,59.1789,0.5985
esc32h,438.0000,564.0000,28.7671,3.6229
tai30a,1818146.0000,2066442.0000,13.6565,3.1886
esc32f,2.0000,2.0000,0.0000,3.6406
chr18b,1534.0000,2588.0000,68.7093,1.3786
esc32a,130.0000,290.0000,123.0769,3.7284
tai10b,inf,1260709.0000,0.0000,0.4415
chr12b,9742.0000,18088.0000,85.6703,0.5978
tai15a,388214.0000,439132.0000,13.1160,0.8755
tai35b,283315445.0000,433990537.0000,53.1828,4.3731
tai100b,1185996137.0000,1602981209.0000,35.1591,52.3618
had16,3720.0000,3932.0000,5.6989,0.9866
sko56,34458.0000,40702.0000,18.1206,11.8560
tai64c,1855928.0000,2586734.0000,39.3769,16.3260
scr10,inf,31495.0000,0.0000,0.4404
nug6,inf,79.0000,0.0000,0.1977
had20,6922.0000,7372.0000,6.5010,1.4977
sko100d,149576.0000,170992.0000,14.3178,51.8138
nug8,inf,216.0000,0.0000,0.3093
sko100c,147862.0000,170338.0000,15.2007,51.8897
had18,5358.0000,5642.0000,5.3005,1.2193
nug16b,1240.0000,1402.0000,13.0645,0.9907
lipa50b,1210244.0000,1518480.0000,25.4689,9.3328
lipa70a,169755.0000,173223.0000,2.0429,20.1485
tai7a,inf,62818.0000,0.0000,0.2497
lipa30a,13178.0000,13684.0000,3.8397,3.2238
scr20,110030.0000,161114.0000,46.4273,1.4772
sko100b,153890.0000,176340.0000,14.5883,51.6385
sko100e,149150.0000,171800.0000,15.1861,51.9081
lipa10b,inf,2017.0000,0.0000,0.4418
nug7,inf,144.0000,0.0000,0.2460
lipa90a,360630.0000,366491.0000,1.6252,40.0394
nug30,6124.0000,7402.0000,20.8687,3.1838
chr20a,2192.0000,5872.0000,167.8832,1.4805
