instance,best_known,algo_solution,gap,time
chr12b,9742.0000,9742,0.0000,0.1627
tai15a,388214.0000,410170,5.6556,0.1926
tai35b,283315445.0000,324825806,14.6516,0.5572
tai100b,1185996137.0000,1521096558,28.2548,1.8742
had16,3720.0000,3722,0.0538,0.3105
sko56,34458.0000,39076,13.4018,0.9406
tai64c,1855928.0000,1896650,2.1942,3.7896
scr10,inf,24368,0.0000,0.0926
nug6,inf,70,0.0000,0.0592
had20,6922.0000,6982,0.8668,0.4582
sko100d,149576.0000,169352,13.2214,1.7022
nug8,inf,188,0.0000,0.0746
sko100c,147862.0000,166198,12.4008,1.9176
had18,5358.0000,5400,0.7839,0.3630
nug16b,1240.0000,1286,3.7097,0.3160
lipa50b,1210244.0000,1498094,23.7845,0.8530
lipa70a,169755.0000,172800,1.7938,1.2690
tai7a,inf,52447,0.0000,0.0635
lipa30a,13178.0000,13610,3.2782,0.3661
scr20,110030.0000,137090,24.5933,0.3073
sko100b,153890.0000,173302,12.6142,1.7325
sko100e,149150.0000,168748,13.1398,1.9758
lipa10b,inf,1990,0.0000,0.1048
nug7,inf,126,0.0000,0.0637
lipa90a,360630.0000,366230,1.5528,1.6344
nug30,6124.0000,6896,12.6061,0.4098
chr20a,2192.0000,4354,98.6314,0.2450
