instance,best_known,algo_solution,gap,time
chr12b,9742.0000,16422,68.5691,0.8658
tai15a,388214.0000,410066,5.6289,1.2775
tai35b,283315445.0000,292983553,3.4125,6.3144
tai100b,1185996137.0000,1435462996,21.0344,50.1607
had16,3720.0000,3752,0.8602,1.4414
sko56,34458.0000,37062,7.5570,15.8832
tai64c,1855928.0000,1895540,2.1344,20.7408
scr10,inf,24368,0.0000,0.6401
nug6,inf,70,0.0000,0.3047
had20,6922.0000,7090,2.4270,2.1801
sko100d,149576.0000,162612,8.7153,50.2660
nug8,inf,188,0.0000,0.4548
sko100c,147862.0000,161506,9.2275,50.1847
had18,5358.0000,5372,0.2613,1.7836
nug16b,1240.0000,1326,6.9355,1.4402
lipa50b,1210244.0000,1462758,20.8647,12.7104
lipa70a,169755.0000,172070,1.3637,25.0493
tai7a,inf,53689,0.0000,0.3752
lipa30a,13178.0000,13495,2.4055,4.6962
scr20,110030.0000,122486,11.3205,2.1739
sko100b,153890.0000,167206,8.6529,50.2977
sko100e,149150.0000,163134,9.3758,50.2111
lipa10b,inf,1988,0.0000,0.6391
nug7,inf,126,0.0000,0.3707
lipa90a,360630.0000,364776,1.1497,40.8554
nug30,6124.0000,6548,6.9236,4.6827
chr20a,2192.0000,3054,39.3248,2.1688
