instance,best_known,algo_solution,gap,time
sko49,23386.0000,27890.0000,19.2594,9.6180
tai6a,inf,38050.0000,0.0000,0.2038
nug18,1930.0000,2286.0000,18.4456,1.2724
nug27,5234.0000,6484.0000,23.8823,2.7744
nug20,2570.0000,2922.0000,13.6965,1.5515
bur26e,5386879.0000,5717928.0000,6.1455,2.5510
tai60a,7205962.0000,8291232.0000,15.0607,15.2188
bur26b,3817852.0000,4029266.0000,5.5375,2.5964
tai40b,637250948.0000,942752372.0000,47.9405,6.1709
tai80a,13499184.0000,15389336.0000,14.0020,32.5087
nug21,2438.0000,3028.0000,24.2002,1.8475
tai5a,inf,19349.0000,0.0000,0.1694
esc8a,inf,2.0000,0.0000,0.3298
tai20a,703482.0000,820748.0000,16.6694,1.6060
esc8f,inf,15.0000,0.0000,0.3329
nug28,5166.0000,6396.0000,23.8095,3.0453
nug17,1732.0000,2044.0000,18.0139,1.1813
tai25b,344355646.0000,727197324.0000,111.1762,2.4315
chr22a,6156.0000,9502.0000,54.3535,1.8972
bur26c,5426795.0000,5751370.0000,5.9810,2.6265
bur26d,3821225.0000,4029299.0000,5.4452,2.6380
esc16h,996.0000,1080.0000,8.4337,1.0561
lipa60a,107218.0000,109669.0000,2.2860,15.5343
tai14a,inf,368175.0000,0.0000,0.8283
esc16f,0.0000,inf,inf,0.0024
rou20,725522.0000,839526.0000,15.7134,1.5905
ste36c,8239110.0000,inf,inf,0.0052
lipa40b,476581.0000,607261.0000,27.4203,6.3004
esc16a,68.0000,82.0000,20.5882,1.0510
lipa80a,253195.0000,257894.0000,1.8559,31.5946
tai12b,39464925.0000,53127820.0000,34.6203,0.6199
chr15a,9896.0000,27292.0000,175.7882,0.9161
kra30a,88900.0000,110450.0000,24.2407,3.3992
lipa20a,3683.0000,3870.0000,5.0774,1.5433
tai17a,491812.0000,572722.0000,16.4514,1.1548
kra32,88900.0000,23202.0000,73.9010,3.8536
ste36b,15852.0000,inf,inf,0.0051
esc16g,26.0000,32.0000,23.0769,1.0196
tai150b,498896643.0000,626716667.0000,25.6205,202.8984
rou10,inf,190133.0000,0.0000,0.4607
esc16i,14.0000,24.0000,71.4286,1.0193
tai50a,4938796.0000,5727100.0000,15.9615,10.0464
tai19a,inf,739995.0000,0.0000,1.4222
esc32d,200.0000,288.0000,44.0000,3.8399
esc32c,642.0000,832.0000,29.5950,3.8721
els19,17212548.0000,20844128.0000,21.0984,1.4326
tai13a,inf,315782.0000,0.0000,0.7189
wil50,48816.0000,54102.0000,10.8284,10.0771
chr12a,9552.0000,19202.0000,101.0260,0.6288
tai15b,51765268.0000,276264883.0000,433.6877,1.0068
tai35a,2422002.0000,2820492.0000,16.4529,4.7654
esc128,64.0000,270.0000,321.8750,120.4163
tai256c,44759294.0000,82173880.0000,83.5907,1119.8134
tai30b,637117113.0000,1070823520.0000,68.0733,3.4547
esc32b,168.0000,372.0000,121.4286,3.8455
wil100,273038.0000,296434.0000,8.5688,57.3693
tai10a,inf,158788.0000,0.0000,0.4594
esc32e,2.0000,2.0000,0.0000,3.7896
chr18a,11098.0000,41686.0000,275.6172,1.2741
nug16a,1610.0000,1922.0000,19.3789,1.0268
lipa50a,62093.0000,63769.0000,2.6992,9.9829
chr20c,14142.0000,57126.0000,303.9457,1.5499
lipa70b,4603200.0000,5928726.0000,28.7958,22.2696
nug5,inf,50.0000,0.0000,0.1562
had12,1652.0000,1798.0000,8.8378,0.6354
tai100a,21052466.0000,23721848.0000,12.6797,57.8068
sko90,115534.0000,133396.0000,15.4604,44.0317
sko64,48498.0000,56894.0000,17.3121,17.8468
chr20b,2298.0000,6362.0000,176.8494,1.5578
tai8a,inf,81394.0000,0.0000,0.3240
sko100f,149036.0000,170246.0000,14.2315,57.1844
lipa30b,151426.0000,190200.0000,25.6059,3.5161
sko100a,152002.0000,174634.0000,14.8893,57.1958
chr25a,3796.0000,13262.0000,249.3678,2.3690
scr15,51140.0000,76550.0000,49.6871,0.9165
lipa10a,inf,464.0000,0.0000,0.4539
had14,2724.0000,2972.0000,9.1043,0.8123
scr12,31410.0000,38694.0000,23.1901,0.6199
lipa90b,12490441.0000,16128340.0000,29.1255,44.1259
bur26a,5426670.0000,5741172.0000,5.7955,2.5708
bur26f,3782044.0000,4002467.0000,5.8281,2.5765
tai60b,608215054.0000,901723438.0000,48.2573,15.3321
tai40a,3139370.0000,3647390.0000,16.1822,6.1281
bur26h,7098658.0000,7597485.0000,7.0271,2.5567
esc8c,inf,54.0000,0.0000,0.3148
sko72,66256.0000,77454.0000,16.9011,23.7087
nug12,578.0000,708.0000,22.4913,0.6231
tai9a,inf,127232.0000,0.0000,0.3791
sko81,90998.0000,105376.0000,15.8003,33.4482
esc8d,inf,14.0000,0.0000,0.3171
nug15,1150.0000,1422.0000,23.6522,0.9110
nug24,3488.0000,4278.0000,22.6491,2.1827
tai25a,1167256.0000,1332016.0000,14.1152,2.3698
chr22b,6194.0000,11062.0000,78.5922,1.8578
bur26g,10117172.0000,10779452.0000,6.5461,2.5781
nug25,3744.0000,4682.0000,25.0534,2.3767
esc64a,116.0000,218.0000,87.9310,17.3447
sko42,15812.0000,19082.0000,20.6805,6.8361
tai80b,818415043.0000,1172539351.0000,43.2695,31.0337
nug22,3596.0000,4564.0000,26.9188,1.8715
esc8e,inf,3.0000,0.0000,0.3140
nug14,1014.0000,1160.0000,14.3984,0.8110
esc8b,inf,9.0000,0.0000,0.3132
tai20b,122455319.0000,290453590.0000,137.1915,1.5462
rou15,354210.0000,427550.0000,20.7052,0.9105
lipa60b,2520135.0000,3207186.0000,27.2625,15.2663
rou12,235528.0000,256710.0000,8.9934,0.6195
lipa40a,31538.0000,32516.0000,3.1010,6.1079
esc16b,292.0000,294.0000,0.6849,1.0303
esc16e,28.0000,36.0000,28.5714,1.0224
chr15c,9504.0000,33352.0000,250.9259,0.9217
tho30,149936.0000,198140.0000,32.1497,3.4049
tai11a,inf,223139.0000,0.0000,0.5403
ste36a,9526.0000,inf,inf,0.0056
esc16d,16.0000,28.0000,75.0000,1.0229
tai18a,inf,627132.0000,0.0000,1.2757
esc16c,160.0000,182.0000,13.7500,1.0197
esc16j,8.0000,20.0000,150.0000,1.0241
lipa80b,7763962.0000,10035320.0000,29.2551,30.9964
lipa20b,27076.0000,33429.0000,23.4636,1.5623
tai12a,224416.0000,269586.0000,20.1278,0.6136
chr15b,7990.0000,28692.0000,259.0989,0.9116
kra30b,91420.0000,114000.0000,24.6992,3.3900
esc32g,6.0000,14.0000,133.3333,3.8137
tho150,8133398.0000,9621980.0000,18.3021,198.7044
tho40,240516.0000,313178.0000,30.2109,6.1554
tai16a,inf,500465.0000,0.0000,1.0319
tai50b,458821517.0000,707863173.0000,54.2785,10.0183
chr12c,11156.0000,21232.0000,90.3191,0.6194
esc32h,438.0000,604.0000,37.8995,3.8557
tai30a,1818146.0000,2098252.0000,15.4061,3.4133
esc32f,2.0000,28.0000,1300.0000,3.8151
chr18b,1534.0000,2490.0000,62.3207,1.2695
esc32a,130.0000,330.0000,153.8462,3.8718
tai10b,inf,1388954.0000,0.0000,0.4568
chr12b,9742.0000,18580.0000,90.7206,0.6203
tai15a,388214.0000,449176.0000,15.7032,0.9234
tai35b,283315445.0000,455361977.0000,60.7261,4.6685
tai100b,1185996137.0000,1559070338.0000,31.4566,57.1052
had16,3720.0000,4028.0000,8.2796,1.0249
sko56,34458.0000,40520.0000,17.5924,12.9403
tai64c,1855928.0000,3303388.0000,77.9912,17.1782
scr10,inf,36778.0000,0.0000,0.4560
nug6,inf,79.0000,0.0000,0.2013
had20,6922.0000,7514.0000,8.5524,1.5544
sko100d,149576.0000,171634.0000,14.7470,57.6364
nug8,inf,245.0000,0.0000,0.3548
sko100c,147862.0000,168916.0000,14.2390,57.5453
had18,5358.0000,5780.0000,7.8761,1.2832
nug16b,1240.0000,1474.0000,18.8710,1.0333
lipa50b,1210244.0000,1526129.0000,26.1009,9.9907
lipa70a,169755.0000,173292.0000,2.0836,22.1601
tai7a,inf,65712.0000,0.0000,0.2634
lipa30a,13178.0000,13694.0000,3.9156,3.5116
scr20,110030.0000,164768.0000,49.7483,1.5493
sko100b,153890.0000,176528.0000,14.7105,57.2878
sko100e,149150.0000,172922.0000,15.9383,57.5005
lipa10b,inf,2177.0000,0.0000,0.4828
nug7,inf,150.0000,0.0000,0.2592
lipa90a,360630.0000,366843.0000,1.7228,44.5543
nug30,6124.0000,7478.0000,22.1097,3.4123
chr20a,2192.0000,5990.0000,173.2664,1.5576
