instance,best_known,algo_solution,gap,time
tai18a,inf,585459,0.0000,1.5742
esc16c,160.0000,160,0.0000,1.2639
esc16j,8.0000,10,25.0000,1.2521
lipa80b,7763962.0000,9661746,24.4435,27.8631
lipa20b,27076.0000,31692,17.0483,1.8168
tai12a,224416.0000,230704,2.8019,0.7298
chr15b,7990.0000,13554,69.6370,1.0681
kra30b,91420.0000,99170,8.4774,3.8947
esc32g,6.0000,6,0.0000,4.4202
tho150,8133398.0000,9007212,10.7435,93.6570
tho40,240516.0000,261722,8.8169,6.8949
tai16a,inf,451483,0.0000,1.2199
tai50b,458821517.0000,510304597,11.2207,10.5719
chr12c,11156.0000,12088,8.3542,0.7273
esc32h,438.0000,482,10.0457,4.4149
tai30a,1818146.0000,1943886,6.9158,3.8907
esc32f,2.0000,2,0.0000,4.4091
chr18b,1534.0000,1786,16.4276,1.4857
esc32a,130.0000,158,21.5385,4.5053
tai10b,inf,541109,0.0000,0.5483
chr12b,9742.0000,9742,0.0000,0.7398
tai15a,388214.0000,401810,3.5022,1.0650
tai35b,283315445.0000,316328224,11.6523,5.2382
tai100b,1185996137.0000,1366144230,15.1896,41.8650
had16,3720.0000,3750,0.8065,1.2073
sko56,34458.0000,37468,8.7353,13.3108
tai64c,1855928.0000,1874132,0.9809,17.2712
scr10,inf,23806,0.0000,0.5388
nug6,inf,70,0.0000,0.2622
had20,6922.0000,6950,0.4045,1.8170
sko100d,149576.0000,161580,8.0254,42.3320
nug8,inf,188,0.0000,0.3986
sko100c,147862.0000,160190,8.3375,41.9289
had18,5358.0000,5388,0.5599,1.4940
nug16b,1240.0000,1240,0.0000,1.2026
lipa50b,1210244.0000,1465688,21.1068,10.8348
lipa70a,169755.0000,172023,1.3360,21.0461
tai7a,inf,51437,0.0000,0.3260
lipa30a,13178.0000,13463,2.1627,4.0244
scr20,110030.0000,120996,9.9664,1.9040
sko100b,153890.0000,165850,7.7718,42.7121
sko100e,149150.0000,161430,8.2333,42.9502
lipa10b,inf,1972,0.0000,0.5665
nug7,inf,126,0.0000,0.3299
lipa90a,360630.0000,364767,1.1472,35.4209
nug30,6124.0000,6384,4.2456,4.0705
chr20a,2192.0000,2470,12.6825,1.8546
