instance,best_known,algo_solution,gap,time
sko49,23386.0000,25282,8.1074,10.4460
tai6a,inf,29648,0.0000,0.2736
nug18,1930.0000,1964,1.7617,1.5445
nug27,5234.0000,5432,3.7830,3.3061
nug20,2570.0000,2680,4.2802,1.9091
bur26e,5386879.0000,5419738,0.6100,3.1579
tai60a,7205962.0000,7877410,9.3180,15.6790
bur26b,3817852.0000,3821623,0.0988,3.1226
tai40b,637250948.0000,722694807,13.4082,7.0658
tai80a,13499184.0000,14577506,7.9881,27.9997
nug21,2438.0000,2552,4.6760,2.1171
tai5a,inf,15443,0.0000,0.2223
esc8a,inf,0,0.0000,0.4027
tai20a,703482.0000,744878,5.8844,1.8859
esc8f,inf,5,0.0000,0.4046
nug28,5166.0000,5420,4.9168,3.5454
nug17,1732.0000,1768,2.0785,1.4134
tai25b,344355646.0000,363713664,5.6215,2.9017
chr22a,6156.0000,7238,17.5763,2.3299
bur26c,5426795.0000,5441096,0.2635,3.1183
bur26d,3821225.0000,3831916,0.2798,3.1264
esc16h,996.0000,996,0.0000,1.2708
lipa60a,107218.0000,108687,1.3701,15.9012
tai14a,inf,339794,0.0000,1.0374
esc16f,0.0000,0,0.0000,1.2735
rou20,725522.0000,766626,5.6654,2.4973
ste36c,8239110.0000,9329412,13.2332,5.8774
lipa40b,476581.0000,574034,20.4484,7.1038
esc16a,68.0000,68,0.0000,1.2602
lipa80a,253195.0000,256190,1.1829,28.0168
tai12b,39464925.0000,40063583,1.5169,0.7696
chr15a,9896.0000,12890,30.2546,1.1072
kra30a,88900.0000,98300,10.5737,4.0329
lipa20a,3683.0000,3784,2.7423,1.8787
tai17a,491812.0000,512556,4.2179,1.3770
kra32,88900.0000,19900,77.6153,4.5486
ste36b,15852.0000,22736,43.4267,5.8511
esc16g,26.0000,26,0.0000,1.2420
tai150b,498896643.0000,571091917,14.4710,95.7808
rou10,inf,165364,0.0000,0.5760
esc16i,14.0000,14,0.0000,1.2577
tai50a,4938796.0000,5377918,8.8913,10.8834
tai19a,inf,684161,0.0000,1.7192
esc32d,200.0000,206,3.0000,4.5814
esc32c,642.0000,642,0.0000,4.6145
els19,17212548.0000,22874890,32.8966,1.6827
tai13a,inf,258809,0.0000,0.8633
wil50,48816.0000,50928,4.3265,10.9601
chr12a,9552.0000,9552,0.0000,0.8066
tai15b,51765268.0000,51765268,0.0000,1.1028
tai35a,2422002.0000,2570130,6.1159,5.4124
esc128,64.0000,94,46.8750,69.2299
tai256c,44759294.0000,46202956,3.2254,276.1257
tai30b,637117113.0000,671496550,5.3961,3.9093
esc32b,168.0000,232,38.0952,4.4126
wil100,273038.0000,284878,4.3364,41.9745
tai10a,inf,125928,0.0000,0.5454
esc32e,2.0000,2,0.0000,4.4257
chr18a,11098.0000,15996,44.1341,1.4939
nug16a,1610.0000,1622,0.7453,1.2291
lipa50a,62093.0000,63129,1.6685,10.6303
chr20c,14142.0000,22752,60.8825,1.8104
lipa70b,4603200.0000,5691093,23.6334,20.8372
nug5,inf,41,0.0000,0.2209
had12,1652.0000,1664,0.7264,0.7341
tai100a,21052466.0000,22735398,7.9940,42.4872
sko90,115534.0000,125332,8.4806,34.6845
sko64,48498.0000,52594,8.4457,17.8854
chr20b,2298.0000,3120,35.7702,1.8878
tai8a,inf,78703,0.0000,0.3908
sko100f,149036.0000,160694,7.8223,42.5530
lipa30b,151426.0000,179213,18.3502,3.9384
sko100a,152002.0000,164304,8.0933,41.8779
chr25a,3796.0000,6312,66.2803,2.7480
scr15,51140.0000,55828,9.1670,1.0670
lipa10a,inf,423,0.0000,0.5379
had14,2724.0000,2724,0.0000,0.9475
scr12,31410.0000,33414,6.3801,0.7274
lipa90b,12490441.0000,15613339,25.0023,33.8822
bur26a,5426670.0000,5456173,0.5437,2.9678
bur26f,3782044.0000,3829477,1.2542,2.9620
tai60b,608215054.0000,708394668,16.4711,15.2005
tai40a,3139370.0000,3378590,7.6200,6.8064
bur26h,7098658.0000,7138824,0.5658,2.9596
esc8c,inf,24,0.0000,0.3850
sko72,66256.0000,71222,7.4952,21.7599
nug12,578.0000,604,4.4983,0.7318
tai9a,inf,91525,0.0000,0.4552
sko81,90998.0000,98502,8.2463,27.4484
esc8d,inf,6,0.0000,0.3912
nug15,1150.0000,1184,2.9565,1.0725
nug24,3488.0000,3658,4.8739,2.5414
tai25a,1167256.0000,1242484,6.4449,2.7357
chr22b,6194.0000,6994,12.9157,2.1566
bur26g,10117172.0000,10168376,0.5061,2.9593
nug25,3744.0000,3864,3.2051,2.7380
esc64a,116.0000,122,5.1724,17.5525
sko42,15812.0000,16906,6.9188,7.5026
tai80b,818415043.0000,930678136,13.7171,27.4651
nug22,3596.0000,3694,2.7253,2.2323
esc8e,inf,1,0.0000,0.4186
nug14,1014.0000,1016,0.1972,0.9697
esc8b,inf,5,0.0000,0.4156
tai20b,122455319.0000,125510288,2.4948,1.8765
rou15,354210.0000,367540,3.7633,1.1141
lipa60b,2520135.0000,3089681,22.5998,15.7559
rou12,235528.0000,238134,1.1065,0.7647
lipa40a,31538.0000,32109,1.8105,7.0979
esc16b,292.0000,292,0.0000,1.2594
esc16e,28.0000,32,14.2857,1.2663
chr15c,9504.0000,14398,51.4941,1.1500
tho30,149936.0000,168166,12.1585,4.3073
tai11a,inf,184432,0.0000,0.7072
ste36a,9526.0000,12078,26.7898,5.9728
esc16d,16.0000,16,0.0000,1.2525
