instance,best_known,algo_solution,gap,time
sko49,23386.0000,26210,12.0756,0.7598
tai6a,inf,29648,0.0000,0.0526
nug18,1930.0000,2038,5.5959,0.2988
nug27,5234.0000,5842,11.6164,0.4206
nug20,2570.0000,2658,3.4241,0.4464
bur26e,5386879.0000,5495755,2.0211,0.3054
tai60a,7205962.0000,8178836,13.5010,0.9119
bur26b,3817852.0000,3877731,1.5684,0.2988
tai40b,637250948.0000,877838106,37.7539,0.5279
tai80a,13499184.0000,15177440,12.4323,1.2568
nug21,2438.0000,2618,7.3831,0.3869
tai5a,inf,15443,0.0000,0.0441
esc8a,inf,0,0.0000,0.1338
tai20a,703482.0000,770660,9.5494,0.2562
esc8f,inf,7,0.0000,0.0895
nug28,5166.0000,5568,7.7816,0.4749
nug17,1732.0000,1756,1.3857,0.3466
tai25b,344355646.0000,415099391,20.5438,0.2985
chr22a,6156.0000,7914,28.5575,0.2407
bur26c,5426795.0000,5552914,2.3240,0.2720
bur26d,3821225.0000,3890692,1.8179,0.3078
esc16h,996.0000,996,0.0000,0.3722
lipa60a,107218.0000,109422,2.0556,0.9262
tai14a,inf,361400,0.0000,0.1454
esc16f,0.0000,0,0.0000,3.4295
rou20,725522.0000,773422,6.6021,0.3246
ste36c,8239110.0000,10421422,26.4872,0.6538
lipa40b,476581.0000,593235,24.4773,0.6731
esc16a,68.0000,68,0.0000,0.4212
lipa80a,253195.0000,257333,1.6343,1.4101
tai12b,39464925.0000,41316941,4.6928,0.1366
chr15a,9896.0000,11310,14.2886,0.2058
kra30a,88900.0000,103260,16.1530,0.5067
lipa20a,3683.0000,3799,3.1496,0.3199
tai17a,491812.0000,532860,8.3463,0.2386
kra32,88900.0000,21670,75.6243,0.4647
ste36b,15852.0000,38862,145.1552,0.4262
esc16g,26.0000,26,0.0000,0.6022
tai150b,498896643.0000,620588206,24.3921,3.2070
rou10,inf,168476,0.0000,0.1079
esc16i,14.0000,14,0.0000,0.3938
tai50a,4938796.0000,5621744,13.8282,0.6425
tai19a,inf,719622,0.0000,0.1999
esc32d,200.0000,228,14.0000,0.7643
esc32c,642.0000,642,0.0000,1.0326
els19,17212548.0000,22808640,32.5117,0.2534
tai13a,inf,283899,0.0000,0.1563
wil50,48816.0000,51814,6.1414,0.8643
chr12a,9552.0000,9552,0.0000,0.1596
tai15b,51765268.0000,52451559,1.3258,0.1736
tai35a,2422002.0000,2736516,12.9857,0.4475
esc128,64.0000,128,100.0000,6.5249
tai256c,44759294.0000,49278612,10.0969,15.2269
tai30b,637117113.0000,758981577,19.1275,0.3368
esc32b,168.0000,292,73.8095,0.6171
wil100,273038.0000,290906,6.5441,1.7727
tai10a,inf,137978,0.0000,0.1070
esc32e,2.0000,2,0.0000,3.2316
chr18a,11098.0000,23750,114.0025,0.2168
nug16a,1610.0000,1714,6.4596,0.2361
lipa50a,62093.0000,63422,2.1403,0.7591
chr20c,14142.0000,36186,155.8761,0.2462
lipa70b,4603200.0000,5836653,26.7956,1.1319
nug5,inf,41,0.0000,0.0610
had12,1652.0000,1676,1.4528,0.1678
tai100a,21052466.0000,23496122,11.6075,1.7412
sko90,115534.0000,130866,13.2706,1.5845
sko64,48498.0000,55378,14.1862,0.9129
chr20b,2298.0000,4386,90.8616,0.2321
tai8a,inf,78703,0.0000,0.0854
sko100f,149036.0000,167734,12.5460,1.7638
lipa30b,151426.0000,185095,22.2346,0.3816
sko100a,152002.0000,172170,13.2682,1.7265
chr25a,3796.0000,9162,141.3593,0.3079
scr15,51140.0000,54232,6.0461,0.2179
lipa10a,inf,424,0.0000,0.1101
had14,2724.0000,2724,0.0000,0.2254
scr12,31410.0000,32144,2.3368,0.1643
lipa90b,12490441.0000,16009576,28.1746,1.5101
